"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"572","RELINFRA.NS-TATAPOWER.NS",0.666666666666667,1985.84708783487,35745.2475810277,26.1111111111111,18
"573","RELINFRA.NS-TORNTPOWER.NS",0.666666666666667,19837.6678228434,178539.010405591,34.8888888888889,9
"574","RPOWER.NS-SUZLON.NS",0.2,-71505.1577105619,-357525.78855281,38.6,5
"575","RPOWER.NS-TATAPOWER.NS",0.6,2754.15343290703,41312.3014936055,22.4,15
"576","RPOWER.NS-TORNTPOWER.NS",0.5,-18730.1134029466,-187301.134029466,20.9,10
"577","SAIL.NS-TATASTEEL.NS",0.4,-15503.3739375136,-77516.8696875678,34,5
"578","SBIN.NS-SOUTHBANK.NS",0.944444444444444,43851.466729587,789326.401132565,19.4444444444444,18
"579","SBIN.NS-SYNDIBANK.NS",0.7,7580.40164895741,75804.0164895741,31,10
"580","SBIN.NS-UNIONBANK.NS",0.625,7394.98267356401,118319.722777024,22.5625,16
"581","SHREECEM.NS-ULTRACEMCO.NS",0.794117647058823,18747.8618541396,637427.303040745,18.9705882352941,34
"582","SINTEX.NS-TITAN.NS",0.666666666666667,-29447.8876103109,-353374.651323731,13.6666666666667,12
"583","SINTEX.NS-VOLTAS.NS",0.5,-99138.9738760716,-594833.843256429,23.6666666666667,6
"584","SOUTHBANK.NS-SYNDIBANK.NS",0.75,21232.9610308442,424659.220616885,24.4,20
"585","SOUTHBANK.NS-UNIONBANK.NS",0.571428571428571,-12108.5493303926,-169519.690625496,19.0714285714286,14
"586","STAR.NS-SUNPHARMA.NS",0.25,-61886.6082512894,-495092.866010315,17.875,8
"587","STAR.NS-TORNTPHARM.NS",0.7,24161.897476769,483237.949535381,18.4,20
"588","SUNPHARMA.NS-TORNTPHARM.NS",0.625,-16922.0043731138,-135376.034984911,23.125,8
"589","SUNTV.NS-TV18BRDCST.NS",0.4,-58032.8784590963,-580328.784590963,45.4,10
"590","SUNTV.NS-ZEEL.NS",0.6,-1095.41265717195,-16431.1898575793,34.9333333333333,15
"591","SUZLON.NS-TATAPOWER.NS",0.642857142857143,-4212.76735660042,-58978.7429924059,26.3571428571429,14
"592","SUZLON.NS-TORNTPOWER.NS",0.692307692307692,-3968.44243659625,-51589.7516757512,23.5384615384615,13
"593","SYNDIBANK.NS-UNIONBANK.NS",0.454545454545455,-19685.1096067474,-216536.205674221,29.3636363636364,11
"594","TATAELXSI.NS-TCS.NS",0.75,11483.118381505,137797.42057806,41.1666666666667,12
"595","TATAELXSI.NS-TECHM.NS",0.25,-64770.2593926221,-259081.037570488,19.75,4
"596","TATAELXSI.NS-WIPRO.NS",0.692307692307692,4521.91562078553,58784.9030702119,13.3076923076923,13
"597","TATAMOTORS.NS-TATAMTRDVR.NS",0.647058823529412,5693.00061118063,96781.0103900708,23.9411764705882,17
"598","TATAPOWER.NS-TORNTPOWER.NS",0.8,4762.61275004017,47626.1275004017,51.4,10
"599","TCS.NS-TECHM.NS",0.545454545454545,-9490.15301266433,-104391.683139308,18.4545454545455,11
"600","TCS.NS-WIPRO.NS",0.689655172413793,11057.5312957475,320668.407576676,21.6206896551724,29
"601","TECHM.NS-WIPRO.NS",0.785714285714286,7140.25788947206,99963.6104526089,11,14
"602","TITAN.NS-VOLTAS.NS",0.666666666666667,1231.22334013126,22162.0201223627,32.0555555555556,18
"603","TV18BRDCST.NS-ZEEL.NS",0.68,10125.6112461896,253140.281154739,20.32,25
