"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"INFRATEL.NS",0.141587978218769,0.275833474242604,0.260270638139983,0.259185371144142,32,28,0.133305318685693,0.505471227962031,-0.0160843111778636,0.507977436591903
"INFY.NS",0.117690019792659,0.221415731563464,0.216305298621717,0.19168488309021,35,25,0.0671064266076713,0.627745189325044,-0.0948484341135696,0.814697847838904
"BHEL.NS",-0.0743088798670404,0.434708312325668,-0.331499305714586,-0.329421949606438,25,35,-0.153769774371575,1.41403059810823,-0.258320500535145,1.80727587615634
"JETAIRWAYS.NS",0.0126310647333836,0.636815990185223,-0.089767782224293,-0.0934393281526206,27,33,-0.0330538096107085,1.3827656500938,0.0419832222898978,2.51122097613664
"CAPF.NS",0.23174964174024,0.376518830465338,0.430132585089581,0.447249268269248,34,26,0.110425887284646,1.48792918616061,-0.376050967173721,2.35298924634653
"JINDALSTEL.NS",-0.0703828554595974,0.550339915036766,-0.25471436013779,-0.261220322056767,27,33,-0.155904163199834,1.85263494061121,0.270883853418252,3.25275197038128
"CENTURYTEX.NS",0.24842002421017,0.415732851952477,0.429659093607812,0.437205616986384,34,26,0.105363139949873,1.73786154500292,0.0501631634376044,1.80598834241399
"ADANIPORTS.NS",0.163411768101788,0.328600849388462,0.284890146871899,0.294084221885426,31,29,0.0473341113445898,1.49242269213995,0.0972372752487232,1.68517558664387
"JSWENERGY.NS",0.0800100997869551,0.397616084081788,0.025686777619328,0.0274361970910217,28,32,-0.0180751383633403,1.62424410660316,-0.016618388541781,1.30956043175029
"JUSTDIAL.NS",-0.180750321883514,0.510314581797278,-0.490965680146528,-0.513634103068656,24,36,-0.195426376919588,1.12219619336645,-0.208127215080047,2.24834320164163
"KOTAKBANK.NS",0.227330224664997,0.197887312916204,0.796077315347784,0.810368066905285,37,23,0.141527549330893,0.97193803727804,0.00218141868830277,1.29381562379599
"KSCL.NS",0.108879778749251,0.445438294489688,0.0877408955975559,0.0824534382774865,32,28,0.0815876722343381,0.849915277848578,0.0580078914367499,1.77658091056301
"L&TFH.NS",0.124529068867632,0.345562637792839,0.158386466083077,0.158109651752376,30,30,0.0132935394745623,1.30064176486951,0.195572497555878,1.99343636785819
"LT.NS",0.153314283675204,0.256525230414126,0.325572886858334,0.354071901494143,32,28,0.0430386627891034,1.28874389459346,0.0306224501092393,1.23896879634522
"MARICO.NS",0.25022566692303,0.191531322666938,0.94203413078031,1.18715189501247,33,27,0.212224181992281,0.576767749108583,-0.0369646868071574,1.10692087370273
"MARUTI.NS",0.304445880048662,0.283716694010776,0.827054809057062,0.781391102632578,37,23,0.203900734825095,1.02901189240927,0.274247508066422,1.20032411270726
"MCDOWELL-N.NS",-0.278140251665762,0.797735059417592,-0.436155928482147,-0.333342544952766,28,32,-0.133543377983815,0.768616666778943,-0.0645342740254177,2.37414794971595
"MINDTREE.NS",0.195121048874183,0.369674493090492,0.339012908272865,0.36395103502641,33,27,0.164786303487755,0.614614886616004,0.336519723860946,-0.754328417907555
"MRF.NS",0.269221831465698,0.308444125182801,0.646552134816087,0.901568659404105,31,29,0.189527717591954,0.953980848215586,0.190378457191218,0.572769343016995
"NMDC.NS",0.00520915326921783,0.29251948384624,-0.220797157641677,-0.235143501065285,27,33,-0.0735908595463575,1.05999000560092,0.0253650359232746,1.33997768945982
