"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"LT.NS",0.200383194778451,0.271364174002468,0.482704254979538,0.531287929023929,13,7
"MARICO.NS",0.255596235139969,0.168795447677809,1.10312028175624,1.49942446350643,14,6
"MARUTI.NS",0.385682980825291,0.247965315066076,1.27553495698604,1.32427421162344,15,5
"MCDOWELL-N.NS",-0.278224407714849,0.760293297279548,-0.457216921807858,-0.400834635755217,6,14
"MINDTREE.NS",0.275878911755595,0.349723662300234,0.59042146893646,0.613455176253909,13,7
"MRF.NS",0.343514528204086,0.323779352411225,0.846625866733714,1.48024833435258,12,8
"NMDC.NS",0.0493562513776663,0.287390086186722,-0.0697250981294002,-0.0710381042999881,10,10
"ORIENTBANK.NS",-0.0971969558424498,0.559637554866752,-0.29767750168333,-0.300547791745508,8,12
"COALINDIA.NS",0.0673244312164573,0.245673774142313,-0.00842630488021,-0.00838896414902832,10,10
"PAGEIND.NS",0.418618815454915,0.281576201504263,1.24024779171963,1.51746809758288,15,5
"PETRONET.NS",0.294073219210779,0.239937950975252,0.936403203241076,0.969023060696812,15,5
"POWERGRID.NS",0.161000869583587,0.157585532704537,0.581311714806277,0.90491363872449,13,7
"PTC.NS",0.13797611311943,0.353569860962069,0.193968907854211,0.228521271417348,10,10
"RECLTD.NS",0.105760601004596,0.447562649173078,0.0812535356409531,0.0880596454259618,11,9
"AMBUJACEM.NS",0.0702369882674789,0.211511785401429,0.00398292193235361,0.00357056765642568,11,9
"RELIANCE.NS",0.234961325000249,0.226631286631802,0.73055567094223,0.876810188394792,13,7
"RPOWER.NS",-0.117883489194413,0.410490515081176,-0.456229889978896,-0.465789629134916,7,13
"SINTEX.NS",-0.0698668247010218,0.899620906555135,-0.154800068589712,-0.133667799059085,10,10
"SYNDIBANK.NS",-0.0857477728694577,0.522025736253989,-0.29719286892098,-0.295988829225318,9,11
"DHFL.NS",0.533267533056197,0.458089010856247,1.01262629909128,1.60937570422387,15,5
"TATACHEM.NS",0.262104603331304,0.186112814014777,1.03544751076383,1.37589832935925,14,6
